house_id,area_sqft,bedrooms,bathrooms,location_score,age_years,distance_city_km,lot_size_sqft,has_garage,has_pool,renovation_years_ago,house_price_inr
100309,2006.0,5.0,5.0,5.7,19.0,22.2,5575.0,1.0,1.0,6.0,29349571.0
102171,2292.0,5.0,2.0,9.7,27.0,16.8,6639.0,1.0,0.0,0.0,50519209.0
103922,1796.0,3.0,3.0,,21.0,16.2,4052.0,,0.0,10.0,24869564.0
102495,833.0,2.0,2.0,6.8,18.0,9.7,1795.0,1.0,0.0,18.0,16013341.0
102303,1400.0,3.0,2.0,7.6,11.0,9.0,3247.0,0.0,0.0,3.0,26788876.0
103181,2286.0,6.0,4.0,7.8,66.0,7.6,4423.0,0.0,0.0,0.0,38434706.0
102038,1319.0,3.0,2.0,4.0,41.0,25.8,1922.0,1.0,0.0,1.0,14289414.0
102541,1189.0,1.0,1.0,6.3,10.0,13.8,2536.0,0.0,0.0,6.0,19289598.0
104120,974.0,2.0,2.0,5.6,9.0,13.8,2647.0,0.0,0.0,9.0,12062707.0
102866,1450.0,2.0,3.0,3.2,18.0,21.3,3102.0,0.0,0.0,1.0,14778947.0
100464,1789.0,4.0,2.0,3.9,22.0,31.5,3149.0,0.0,0.0,2.0,
101407,726.0,1.0,1.0,2.5,3.0,34.3,2202.0,1.0,,0.0,6007568.0
102904,1864.0,4.0,1.0,8.9,15.0,14.2,4612.0,0.0,1.0,15.0,39181946.0
103616,2128.0,5.0,3.0,6.5,9.0,19.8,2067.0,1.0,0.0,3.0,31046652.0
103569,1796.0,5.0,,2.0,43.0,22.8,4536.0,1.0,0.0,,11149725.0
100158,1958.0,4.0,5.0,7.4,24.0,,2284.0,0.0,,3.0,37141974.0
103902,1565.0,3.0,2.0,7.1,37.0,1.8,3324.0,1.0,0.0,6.0,24068687.0
101610,1486.0,3.0,3.0,7.1,32.0,16.7,3342.0,1.0,0.0,1.0,21909692.0
101570,1306.0,2.0,1.0,4.9,,16.7,1912.0,0.0,0.0,6.0,16380114.0
102759,915.0,4.0,3.0,5.4,13.0,16.6,1415.0,,0.0,11.0,12122083.0
100150,1843.0,4.0,3.0,8.1,22.0,16.0,3031.0,1.0,0.0,11.0,35947398.0
101511,908.0,2.0,2.0,,69.0,18.6,1421.0,0.0,0.0,13.0,11448514.0
100439,543.0,1.0,2.0,7.4,25.0,15.0,800.0,,1.0,13.0,8892788.0
102211,,2.0,2.0,8.9,13.0,1.0,,,1.0,1.0,19455507.0
103410,2980.0,7.0,5.0,6.7,20.0,17.1,5833.0,1.0,0.0,12.0,46217095.0
102203,2118.0,4.0,2.0,4.4,33.0,22.9,2606.0,1.0,0.0,17.0,23188183.0
101468,1907.0,5.0,4.0,5.3,18.0,14.5,2568.0,0.0,0.0,1.0,26754323.0
100110,1602.0,3.0,3.0,5.7,9.0,20.5,1927.0,0.0,0.0,5.0,23816387.0
100545,450.0,2.0,1.0,6.7,21.0,23.8,923.0,1.0,0.0,3.0,5980594.0
102453,1606.0,3.0,2.0,2.1,18.0,24.6,5102.0,1.0,1.0,10.0,13470492.0
102820,450.0,1.0,1.0,5.7,29.0,19.7,1369.0,1.0,0.0,,4867891.0
100152,1875.0,4.0,2.0,5.4,30.0,25.3,,1.0,0.0,11.0,22967365.0
103270,,5.0,2.0,7.6,20.0,10.7,4392.0,1.0,0.0,6.0,39894227.0
103598,2305.0,5.0,4.0,7.3,15.0,5.4,4239.0,0.0,0.0,8.0,42217335.0
100512,1617.0,4.0,,6.2,14.0,9.0,2034.0,0.0,0.0,14.0,23198249.0
104017,1337.0,4.0,3.0,2.1,10.0,28.3,3258.0,1.0,0.0,4.0,10714707.0
100458,977.0,1.0,1.0,8.1,28.0,17.0,2655.0,0.0,1.0,6.0,
102245,2701.0,7.0,4.0,,13.0,18.7,7425.0,1.0,0.0,6.0,49661535.0
103621,758.0,2.0,1.0,9.2,26.0,8.5,1756.0,0.0,0.0,2.0,17012912.0
101886,1832.0,4.0,3.0,8.2,26.0,,4120.0,0.0,0.0,2.0,35922840.0
101488,505.0,1.0,1.0,5.4,43.0,24.9,1360.0,0.0,0.0,12.0,4726679.0
100275,1012.0,3.0,2.0,8.2,11.0,6.5,1794.0,0.0,0.0,8.0,
100677,928.0,,1.0,9.2,,4.5,1708.0,1.0,0.0,13.0,18194509.0
100306,1726.0,4.0,3.0,3.1,19.0,22.8,3440.0,1.0,0.0,2.0,15728620.0
100297,2235.0,4.0,5.0,8.8,12.0,8.2,7350.0,0.0,1.0,3.0,52406464.0
104140,1653.0,4.0,2.0,6.6,10.0,32.3,3374.0,1.0,0.0,10.0,29900540.0
101324,1966.0,4.0,3.0,7.0,4.0,19.4,5109.0,0.0,0.0,0.0,33623579.0
102115,2132.0,6.0,4.0,6.8,22.0,15.7,3243.0,1.0,0.0,1.0,36508065.0
103271,1510.0,4.0,2.0,4.1,51.0,30.4,2278.0,1.0,0.0,6.0,14170834.0
101056,1213.0,2.0,1.0,4.6,16.0,23.9,2508.0,1.0,0.0,6.0,15742357.0
102289,1262.0,3.0,3.0,4.8,17.0,16.7,3266.0,1.0,0.0,17.0,
103143,1586.0,4.0,3.0,3.9,16.0,27.9,2447.0,0.0,0.0,12.0,17381806.0
103071,825.0,1.0,2.0,4.2,15.0,26.8,1635.0,0.0,0.0,0.0,8558529.0
103286,2627.0,5.0,4.0,2.7,10.0,23.4,7209.0,1.0,0.0,10.0,26085665.0
102864,2093.0,5.0,3.0,7.7,16.0,2.1,3644.0,1.0,0.0,16.0,33625392.0
103700,1505.0,3.0,3.0,,,24.6,3840.0,1.0,0.0,15.0,11134968.0
102674,1300.0,3.0,2.0,6.8,22.0,6.8,2932.0,1.0,0.0,1.0,21608157.0
104165,1369.0,,2.0,3.6,17.0,22.5,3671.0,1.0,0.0,9.0,13845675.0
104119,,2.0,2.0,8.0,6.0,17.8,,1.0,0.0,0.0,26853641.0
101535,1347.0,3.0,2.0,8.4,18.0,12.8,2206.0,1.0,0.0,4.0,21878004.0
102654,2320.0,4.0,3.0,8.7,7.0,13.9,4070.0,0.0,1.0,0.0,43711468.0
100180,3418.0,7.0,5.0,5.3,9.0,27.3,7072.0,1.0,0.0,6.0,42797532.0
101211,841.0,1.0,1.0,4.7,18.0,23.9,2503.0,1.0,0.0,,9768959.0
101201,1731.0,3.0,1.0,,10.0,17.4,5032.0,0.0,0.0,6.0,17408966.0
102248,785.0,1.0,1.0,4.5,18.0,26.6,1061.0,0.0,0.0,3.0,8536700.0
101258,1922.0,4.0,2.0,5.2,20.0,9.9,5067.0,0.0,0.0,,23396214.0
101076,1329.0,4.0,3.0,7.9,,27.5,1963.0,0.0,1.0,13.0,22382576.0
101117,3212.0,6.0,5.0,4.7,34.0,16.9,1840.0,1.0,0.0,19.0,44359300.0
101053,1971.0,4.0,3.0,5.5,42.0,23.2,2762.0,1.0,0.0,15.0,26873428.0
103136,1938.0,5.0,5.0,4.7,23.0,22.5,2766.0,1.0,0.0,23.0,22783682.0
102926,1814.0,2.0,2.0,8.4,15.0,1.2,,1.0,1.0,9.0,36923024.0
100622,,4.0,4.0,6.8,7.0,21.9,4959.0,1.0,0.0,0.0,36381002.0
101018,1335.0,3.0,3.0,7.6,31.0,7.5,1978.0,0.0,0.0,7.0,24749136.0
101503,1118.0,3.0,2.0,2.4,21.0,25.9,2504.0,0.0,0.0,21.0,
103173,794.0,,1.0,7.0,39.0,3.3,1750.0,1.0,0.0,0.0,11504316.0
100372,1974.0,4.0,4.0,7.2,29.0,19.7,5180.0,1.0,0.0,17.0,36162641.0
101039,1796.0,4.0,4.0,4.3,6.0,24.3,4357.0,0.0,0.0,0.0,20052409.0
100071,1885.0,4.0,3.0,6.0,47.0,16.5,3470.0,1.0,0.0,1.0,25683316.0
101903,2413.0,4.0,4.0,4.3,19.0,30.4,3585.0,,1.0,2.0,27512659.0
101314,2013.0,5.0,3.0,7.6,15.0,10.8,3508.0,1.0,0.0,9.0,37972623.0
100388,2870.0,7.0,5.0,5.9,17.0,18.9,7470.0,1.0,0.0,7.0,39277687.0
101164,580.0,1.0,2.0,7.5,15.0,5.8,,0.0,0.0,,10784914.0
103725,,3.0,3.0,5.0,27.0,28.8,1905.0,1.0,0.0,12.0,13999353.0
100965,1592.0,4.0,4.0,7.0,14.0,11.4,5254.0,0.0,0.0,7.0,29138500.0
103917,1593.0,3.0,4.0,5.4,33.0,9.5,4682.0,0.0,0.0,,22676560.0
100552,1549.0,,2.0,,26.0,16.5,3161.0,1.0,0.0,6.0,23526713.0
100411,2113.0,5.0,4.0,6.3,,1.4,4512.0,1.0,1.0,0.0,32644279.0
101481,2120.0,4.0,3.0,9.1,15.0,1.0,2944.0,1.0,0.0,15.0,51642045.0
102993,1697.0,4.0,3.0,6.2,45.0,,3983.0,1.0,0.0,5.0,20564369.0
100643,1481.0,4.0,3.0,7.9,15.0,13.3,3479.0,0.0,0.0,1.0,24552061.0
102334,1418.0,4.0,3.0,4.9,44.0,22.6,1813.0,1.0,1.0,8.0,19243610.0
103560,806.0,1.0,2.0,4.7,16.0,16.3,,1.0,0.0,2.0,9234273.0
100316,1664.0,3.0,3.0,1.0,22.0,24.1,3217.0,1.0,0.0,8.0,9375072.0
100791,1929.0,3.0,2.0,2.8,13.0,16.2,5067.0,0.0,0.0,5.0,15831874.0
102728,2522.0,5.0,3.0,3.2,9.0,16.6,4546.0,1.0,0.0,4.0,28050892.0
103537,2091.0,7.0,5.0,6.3,,11.3,4452.0,1.0,0.0,19.0,34544966.0
101792,,4.0,3.0,5.0,15.0,24.5,3139.0,1.0,0.0,1.0,23278043.0
100479,3651.0,7.0,5.0,4.0,33.0,21.4,7695.0,1.0,0.0,7.0,44070042.0
102687,1955.0,3.0,3.0,6.1,14.0,12.6,5820.0,1.0,0.0,6.0,32265436.0
103857,743.0,2.0,2.0,8.2,45.0,22.0,1524.0,1.0,0.0,5.0,13301895.0
103913,2306.0,4.0,2.0,,25.0,22.2,7066.0,1.0,0.0,25.0,35620732.0
103175,999.0,3.0,2.0,4.1,19.0,19.5,1471.0,0.0,0.0,3.0,9755337.0
101469,873.0,1.0,1.0,7.8,60.0,11.5,1807.0,0.0,1.0,4.0,13989742.0
101514,450.0,,2.0,4.9,16.0,24.7,1088.0,1.0,0.0,0.0,5097207.0
100433,1475.0,4.0,3.0,3.2,10.0,30.4,2962.0,1.0,,10.0,14062075.0
102548,1283.0,3.0,3.0,5.1,27.0,9.0,,1.0,0.0,6.0,
100135,,3.0,3.0,5.9,20.0,4.8,2360.0,0.0,0.0,20.0,15524849.0
101949,2382.0,4.0,4.0,,5.0,18.9,4712.0,1.0,0.0,0.0,44375916.0
100430,507.0,1.0,1.0,6.6,16.0,19.3,800.0,0.0,0.0,16.0,8310921.0
102753,1347.0,2.0,1.0,4.6,,20.3,4218.0,1.0,0.0,3.0,17308402.0
101513,1184.0,3.0,2.0,7.9,31.0,18.6,1747.0,1.0,0.0,10.0,21507016.0
102355,,5.0,3.0,5.6,10.0,14.2,5999.0,1.0,0.0,,32489233.0
101341,,5.0,3.0,3.4,,29.0,4243.0,1.0,0.0,1.0,16955403.0
101847,,5.0,3.0,7.8,36.0,10.1,5130.0,1.0,0.0,8.0,43025218.0
103660,3088.0,7.0,,9.1,6.0,13.3,4735.0,1.0,0.0,0.0,73396695.0
100062,1529.0,3.0,1.0,6.4,,14.2,4643.0,0.0,0.0,11.0,24140544.0
101074,816.0,2.0,1.0,6.2,14.0,14.9,1433.0,1.0,0.0,13.0,12106323.0
103258,1187.0,3.0,3.0,6.6,5.0,23.4,2282.0,0.0,0.0,0.0,19352227.0
102380,1819.0,3.0,2.0,6.7,65.0,16.2,3958.0,1.0,0.0,26.0,24845821.0
101403,,5.0,5.0,8.6,17.0,7.5,7070.0,0.0,0.0,17.0,44301918.0
103134,2622.0,7.0,4.0,5.6,29.0,23.5,6891.0,,0.0,15.0,36194959.0
101878,1514.0,3.0,3.0,1.2,20.0,33.7,3694.0,1.0,0.0,7.0,7415990.0
103958,1494.0,2.0,2.0,4.9,15.0,21.3,2880.0,0.0,0.0,8.0,18606838.0
100839,2290.0,6.0,4.0,3.3,33.0,32.0,4464.0,0.0,0.0,6.0,19208491.0
100531,2065.0,4.0,3.0,7.7,12.0,15.9,,1.0,0.0,8.0,
100097,1842.0,3.0,,,7.0,34.3,5110.0,1.0,0.0,0.0,25639910.0
101845,1754.0,4.0,4.0,5.2,16.0,21.0,1575.0,0.0,0.0,16.0,21831265.0
100145,1819.0,4.0,3.0,5.7,3.0,29.0,2860.0,1.0,0.0,0.0,26212040.0
101819,1513.0,3.0,3.0,6.1,23.0,14.7,3205.0,0.0,,3.0,24808278.0
100472,450.0,1.0,1.0,6.6,20.0,12.9,1166.0,0.0,0.0,8.0,6082243.0
102475,1847.0,5.0,5.0,3.8,20.0,27.9,3339.0,1.0,0.0,8.0,22624759.0
100722,538.0,1.0,1.0,,13.0,11.6,1140.0,0.0,1.0,13.0,6540549.0
100692,2404.0,4.0,3.0,1.8,17.0,27.5,5457.0,0.0,0.0,14.0,15543709.0
101075,2298.0,5.0,2.0,6.4,16.0,14.8,4293.0,1.0,0.0,15.0,32198243.0
103047,2403.0,5.0,3.0,8.8,21.0,6.2,6529.0,0.0,0.0,9.0,53781467.0
103593,3147.0,6.0,,1.5,13.0,24.5,3856.0,1.0,0.0,13.0,18562733.0
100569,450.0,2.0,2.0,8.9,27.0,5.2,901.0,0.0,0.0,19.0,9240516.0
101222,,3.0,2.0,8.1,20.0,16.8,2121.0,1.0,0.0,15.0,33720663.0
101452,2756.0,6.0,4.0,6.0,53.0,13.5,8134.0,1.0,0.0,3.0,35361110.0
103703,1054.0,3.0,2.0,5.7,21.0,17.4,2988.0,1.0,0.0,21.0,16076975.0
101564,2225.0,4.0,3.0,8.9,21.0,2.3,6062.0,1.0,0.0,1.0,43967110.0
101171,,4.0,3.0,7.9,10.0,17.4,5542.0,0.0,0.0,10.0,38097673.0
102531,1958.0,6.0,4.0,5.7,13.0,14.1,2656.0,1.0,0.0,1.0,
102504,1252.0,2.0,2.0,4.1,14.0,25.4,3609.0,0.0,0.0,4.0,15411248.0
100844,1899.0,4.0,2.0,7.2,8.0,20.9,3357.0,0.0,0.0,8.0,35397410.0
103858,2034.0,4.0,4.0,8.3,20.0,3.3,,0.0,0.0,7.0,46029816.0
100291,1515.0,4.0,3.0,7.8,4.0,19.7,2493.0,1.0,0.0,,31108627.0
103987,2010.0,5.0,3.0,8.2,31.0,3.3,3373.0,1.0,0.0,11.0,39914899.0
102190,2033.0,5.0,3.0,4.9,22.0,17.6,5132.0,0.0,0.0,14.0,21517896.0
100151,1813.0,2.0,1.0,7.0,12.0,10.8,2833.0,1.0,0.0,12.0,29109891.0
102857,1183.0,2.0,1.0,4.0,19.0,23.2,2631.0,0.0,0.0,0.0,11888946.0
102286,1950.0,6.0,4.0,2.5,9.0,36.3,2721.0,1.0,0.0,6.0,18468770.0
101887,1124.0,2.0,2.0,3.6,1.0,21.4,1473.0,0.0,0.0,0.0,12622042.0
103154,1406.0,4.0,4.0,1.2,17.0,39.0,,1.0,0.0,6.0,7154828.0
101205,1682.0,3.0,3.0,4.5,15.0,17.4,1908.0,0.0,0.0,15.0,22093527.0
103099,1566.0,3.0,2.0,7.1,,7.5,3523.0,1.0,1.0,10.0,26881110.0
102805,1588.0,4.0,4.0,9.2,30.0,15.4,2359.0,0.0,0.0,4.0,36003300.0
100991,1785.0,3.0,2.0,6.2,26.0,8.2,3736.0,1.0,0.0,5.0,27303375.0
100890,2371.0,5.0,4.0,8.0,24.0,5.7,5451.0,1.0,0.0,7.0,49714932.0
103942,2450.0,5.0,3.0,8.1,22.0,8.6,4021.0,1.0,0.0,6.0,50726967.0
101916,1297.0,2.0,2.0,6.7,71.0,6.5,3618.0,1.0,0.0,11.0,16051324.0
101651,2027.0,5.0,2.0,8.3,13.0,,5287.0,1.0,0.0,13.0,38694813.0
103984,920.0,2.0,2.0,5.9,18.0,17.1,2123.0,1.0,0.0,2.0,13730383.0
103037,1427.0,,2.0,7.1,5.0,20.3,2576.0,1.0,0.0,0.0,24850315.0
100367,1796.0,5.0,4.0,7.7,7.0,6.5,3378.0,1.0,0.0,0.0,38483237.0
102632,1951.0,4.0,3.0,5.9,8.0,13.1,3543.0,1.0,0.0,8.0,33294406.0
102347,1339.0,2.0,2.0,9.1,40.0,6.3,2764.0,1.0,0.0,28.0,28964332.0
102981,1822.0,4.0,3.0,5.7,37.0,12.4,4918.0,0.0,,6.0,24384092.0
100694,2050.0,4.0,4.0,8.2,36.0,12.5,1985.0,1.0,0.0,15.0,38613121.0
100121,2164.0,5.0,3.0,5.9,15.0,14.1,6544.0,,0.0,4.0,31300735.0
101451,1851.0,4.0,,5.1,11.0,28.0,7045.0,0.0,0.0,,27070052.0
101565,2129.0,5.0,5.0,7.2,23.0,6.2,3309.0,0.0,0.0,2.0,44997761.0
104113,2663.0,6.0,4.0,7.4,11.0,14.4,4599.0,0.0,0.0,3.0,52957976.0
101256,864.0,3.0,3.0,6.4,44.0,9.0,1938.0,1.0,0.0,23.0,13168643.0
103207,1148.0,2.0,1.0,6.3,71.0,24.9,2650.0,0.0,0.0,2.0,
100506,1333.0,3.0,2.0,4.2,33.0,29.4,2663.0,1.0,0.0,2.0,12603646.0
102064,1583.0,4.0,2.0,5.8,53.0,21.6,2926.0,1.0,0.0,1.0,20078376.0
104124,1785.0,5.0,3.0,4.8,28.0,11.4,5196.0,1.0,1.0,10.0,26051105.0
100595,2324.0,5.0,4.0,9.1,12.0,10.1,4211.0,1.0,0.0,,50069202.0
103833,2323.0,6.0,4.0,,17.0,25.8,3374.0,1.0,0.0,17.0,29660683.0
103208,2190.0,5.0,4.0,6.2,41.0,16.7,5623.0,1.0,0.0,8.0,35815778.0
103933,2227.0,5.0,4.0,8.2,6.0,12.8,5718.0,0.0,0.0,0.0,44288972.0
101299,1824.0,2.0,3.0,6.3,31.0,11.6,4058.0,0.0,0.0,10.0,24466360.0
102067,450.0,,1.0,6.6,13.0,16.5,919.0,,0.0,5.0,6956174.0
100908,2135.0,,4.0,7.0,32.0,17.9,,1.0,0.0,14.0,39618740.0
102908,915.0,2.0,1.0,4.1,12.0,,2914.0,0.0,0.0,11.0,10445748.0
103363,484.0,2.0,1.0,,30.0,22.2,868.0,0.0,0.0,1.0,5684151.0
101322,1994.0,4.0,3.0,,53.0,10.9,,1.0,0.0,14.0,31603687.0
101028,1728.0,4.0,3.0,6.5,31.0,6.4,2404.0,0.0,0.0,0.0,27341366.0
101030,985.0,3.0,4.0,8.9,16.0,2.2,2470.0,0.0,0.0,9.0,22693690.0
103899,1929.0,5.0,3.0,2.7,8.0,27.4,4905.0,1.0,,8.0,
101913,2065.0,5.0,3.0,6.3,20.0,12.6,6751.0,,0.0,2.0,34101634.0
103340,2818.0,6.0,4.0,7.3,6.0,,8775.0,1.0,0.0,0.0,54571518.0
101704,2371.0,6.0,4.0,,13.0,27.0,6509.0,1.0,0.0,13.0,19359021.0
103430,2366.0,6.0,4.0,6.6,2.0,13.9,5211.0,1.0,0.0,0.0,44674719.0
103162,1946.0,5.0,3.0,6.1,8.0,18.0,3373.0,1.0,1.0,8.0,32750822.0
103063,1589.0,4.0,3.0,2.9,14.0,26.8,3419.0,0.0,0.0,14.0,13789499.0
102074,1778.0,3.0,2.0,4.0,12.0,24.9,3003.0,1.0,,12.0,18270336.0
100752,771.0,3.0,3.0,7.7,35.0,18.6,946.0,1.0,1.0,,15262097.0
103839,1021.0,2.0,3.0,1.8,12.0,31.6,2352.0,1.0,0.0,0.0,6468412.0
100600,1895.0,5.0,4.0,8.4,19.0,6.3,2962.0,1.0,0.0,18.0,40000280.0
100298,1850.0,,3.0,3.5,10.0,24.7,2606.0,1.0,0.0,3.0,17876729.0
103950,819.0,1.0,1.0,7.6,7.0,13.9,1238.0,1.0,0.0,0.0,14212715.0
104170,1187.0,3.0,2.0,3.7,15.0,24.1,2597.0,1.0,0.0,1.0,13059607.0
103182,1989.0,5.0,4.0,6.3,15.0,7.5,2579.0,0.0,0.0,1.0,30261331.0
100808,1339.0,3.0,1.0,7.6,32.0,14.3,3081.0,1.0,0.0,3.0,21586733.0
103358,450.0,1.0,2.0,8.4,21.0,12.1,800.0,0.0,0.0,,6877316.0
100603,2215.0,4.0,3.0,4.5,8.0,20.1,,1.0,0.0,1.0,25963028.0
100052,1400.0,3.0,3.0,8.6,20.0,,2400.0,1.0,1.0,10.0,29171512.0
103618,1465.0,3.0,,6.0,34.0,17.8,2047.0,0.0,1.0,34.0,22438246.0
103322,1062.0,1.0,1.0,3.6,17.0,24.1,2051.0,0.0,0.0,1.0,10055668.0
102131,1935.0,5.0,5.0,5.7,22.0,29.2,5796.0,1.0,0.0,3.0,28583013.0
103965,1255.0,1.0,2.0,,24.0,29.1,3579.0,0.0,0.0,13.0,7724187.0
101062,450.0,1.0,1.0,3.8,43.0,30.8,800.0,1.0,0.0,5.0,1500096.0
103104,2346.0,5.0,4.0,7.7,26.0,17.2,3551.0,,,22.0,40984121.0
103574,1776.0,4.0,2.0,7.8,22.0,16.2,2928.0,0.0,0.0,7.0,29817073.0
102442,2548.0,7.0,4.0,4.2,7.0,29.7,5712.0,1.0,0.0,0.0,28401374.0
102824,737.0,2.0,1.0,5.7,17.0,15.3,952.0,0.0,0.0,3.0,
103926,1431.0,4.0,3.0,4.9,39.0,20.2,1348.0,0.0,0.0,15.0,17712588.0
103232,450.0,1.0,1.0,9.5,46.0,6.0,800.0,1.0,0.0,10.0,9483579.0
100167,2184.0,4.0,4.0,8.3,25.0,16.5,,0.0,0.0,6.0,46254212.0
102640,1909.0,4.0,2.0,6.2,80.0,15.9,2513.0,1.0,0.0,12.0,26415052.0
102523,1889.0,4.0,4.0,,16.0,19.7,3839.0,1.0,0.0,14.0,24278527.0
101107,2048.0,4.0,3.0,5.6,40.0,31.6,3767.0,,0.0,1.0,27925905.0
104084,450.0,1.0,2.0,2.5,33.0,30.8,937.0,0.0,0.0,4.0,1538510.0
103953,3070.0,6.0,3.0,2.4,31.0,,5319.0,1.0,0.0,7.0,23937834.0
102577,2602.0,6.0,5.0,6.4,8.0,16.3,2129.0,0.0,1.0,4.0,39413689.0
102339,1655.0,3.0,2.0,3.4,21.0,24.1,2837.0,1.0,0.0,5.0,15260208.0
102207,2615.0,6.0,5.0,8.3,,14.6,2054.0,1.0,0.0,,48700358.0
103391,625.0,1.0,1.0,6.0,31.0,23.5,1389.0,0.0,,5.0,7889960.0
102424,1622.0,4.0,3.0,5.0,13.0,9.8,4555.0,0.0,0.0,8.0,23664687.0
100288,2032.0,4.0,4.0,6.7,8.0,11.1,5801.0,1.0,0.0,8.0,31072326.0
102631,1843.0,4.0,3.0,7.8,8.0,10.0,2529.0,1.0,0.0,,36993495.0
101019,1442.0,3.0,2.0,4.4,22.0,17.7,2238.0,0.0,,12.0,16113788.0
100153,1208.0,2.0,2.0,9.2,39.0,,2519.0,1.0,0.0,6.0,20918771.0
103219,1172.0,3.0,3.0,8.2,12.0,23.2,3137.0,,,12.0,22781740.0
102695,,4.0,3.0,8.7,47.0,4.1,4656.0,1.0,0.0,5.0,40894145.0
101363,1728.0,3.0,3.0,4.2,14.0,30.1,4767.0,,0.0,7.0,16526361.0
103518,1926.0,5.0,4.0,2.9,19.0,26.0,3827.0,1.0,0.0,9.0,19106416.0
100462,1673.0,3.0,2.0,7.4,6.0,10.5,2960.0,1.0,0.0,0.0,28363617.0
102877,1041.0,3.0,4.0,8.7,25.0,14.4,2624.0,0.0,0.0,0.0,21740063.0
100009,1345.0,2.0,1.0,4.7,37.0,12.5,3977.0,0.0,0.0,32.0,16161989.0
101973,2076.0,4.0,3.0,5.9,13.0,11.1,3863.0,0.0,,10.0,30819585.0
100961,2068.0,5.0,5.0,8.5,11.0,7.4,3426.0,1.0,0.0,11.0,43238388.0
100832,1053.0,3.0,,4.0,8.0,17.4,2644.0,1.0,0.0,8.0,13758318.0
